r(16,294,0,0)
w(6,1,0,0)
r(18,895,0,0)
w(5,1,0,0)
r(13,106,0,0)
w(7,1,0,0)
r(10,875,0,0)
r(3,939,0,0)
w(0,1,0,0)
r(4,286,0,0)
w(8,1,0,0)
r(15,939,0,0)
r(11,870,0,0)
w(9,1,0,0)
r(12,99,0,0)
r(19,91,0,0)
w(1,1,0,0)
r(14,292,0,0)
w(2,1,0,0)
r(17,885,0,0)
r(15,939,0,1)
w(14,1,0,1)
r(10,875,0,1)
w(19,1,0,1)
w(16,1,0,1)
r(1,908,0,1)
w(2,2,0,1)
r(8,305,0,1)
w(9,2,0,1)
w(4,1,0,1)
w(11,1,0,1)
r(17,885,0,1)
w(7,2,0,1)
w(3,1,0,1)
w(18,1,0,1)
r(5,888,0,1)
r(12,99,0,1)
r(6,295,0,1)
r(0,883,0,1)
r(13,106,0,1)
w(14,2,0,2)
r(10,875,0,2)
r(4,286,0,2)
w(15,1,0,2)
r(12,99,0,2)
w(9,3,0,2)
w(17,1,0,2)
r(0,883,0,2)
w(1,2,0,2)
w(13,1,0,2)
w(19,2,0,2)
r(18,895,0,2)
r(3,939,0,2)
w(5,2,0,2)
w(6,2,0,2)
w(2,3,0,2)
w(16,2,0,2)
w(7,3,0,2)
w(11,2,0,2)
r(8,305,0,2)
r(17,885,0,3)
r(19,91,0,3)
w(3,2,0,3)
w(7,4,0,3)
w(2,4,0,3)
w(10,1,0,3)
w(12,1,0,3)
w(9,4,0,3)
r(6,295,0,3)
w(11,3,0,3)
w(13,2,0,3)
w(0,2,0,3)
r(4,286,0,3)
w(1,3,0,3)
r(5,888,0,3)
w(8,2,0,3)
r(15,939,0,3)
w(14,3,0,3)
w(16,3,0,3)
w(18,2,0,3)
r(4,892,0,4)
w(9,5,0,4)
r(18,896,0,4)
w(5,3,0,4)
r(19,91,0,4)
r(0,883,0,4)
w(12,2,0,4)
r(14,292,0,4)
r(13,907,0,4)
r(2,302,0,4)
w(8,3,0,4)
r(1,908,0,4)
r(6,916,0,4)
w(7,5,0,4)
w(3,3,0,4)
w(15,2,0,4)
w(11,4,0,4)
