r(6,109,0,0)
r(15,106,0,0)
w(12,1,0,0)
r(8,108,0,0)
w(9,1,0,0)
r(3,100,0,0)
w(14,1,0,0)
w(17,1,0,0)
w(18,1,0,0)
w(11,1,0,0)
r(16,106,0,0)
w(19,1,0,0)
r(13,99,0,0)
r(1,89,0,0)
w(5,1,0,0)
r(7,90,0,0)
w(2,1,0,0)
r(0,102,0,0)
r(4,96,0,0)
w(10,1,0,0)
r(5,1,0,1)
w(11,2,0,1)
r(19,1,0,1)
r(14,1,0,1)
w(15,1,0,1)
r(16,106,0,1)
w(6,1,0,1)
w(18,2,0,1)
w(0,1,0,1)
w(17,2,0,1)
r(8,108,0,1)
w(10,2,0,1)
r(12,1,0,1)
r(7,90,0,1)
r(2,1,0,1)
r(3,100,0,1)
w(1,1,0,1)
r(4,96,0,1)
w(9,2,0,1)
w(13,1,0,1)
w(16,1,0,2)
r(18,702,0,2)
w(11,3,0,2)
w(5,2,0,2)
r(8,108,0,2)
r(15,715,0,2)
w(1,2,0,2)
r(12,697,0,2)
r(6,109,0,2)
r(9,590,0,2)
r(0,705,0,2)
r(19,571,0,2)
w(7,1,0,2)
r(3,100,0,2)
r(2,703,0,2)
w(10,3,0,2)
r(14,1,0,2)
w(17,3,0,2)
r(4,697,0,2)
w(13,2,0,2)
r(7,714,0,3)
w(14,2,0,3)
w(2,2,0,3)
w(18,3,0,3)
w(6,2,0,3)
r(9,590,0,3)
r(19,682,0,3)
r(17,685,0,3)
w(5,3,0,3)
r(13,717,0,3)
r(1,658,0,3)
w(4,1,0,3)
r(3,100,0,3)
r(0,706,0,3)
w(12,2,0,3)
r(16,718,0,3)
w(11,4,0,3)
w(8,1,0,3)
r(15,715,0,3)
w(10,4,0,3)
w(18,4,0,4)
r(19,682,0,4)
w(7,2,0,4)
r(9,590,0,4)
w(11,5,0,4)
r(4,698,0,4)
r(16,718,0,4)
r(0,706,0,4)
w(13,3,0,4)
r(5,704,0,4)
w(8,2,0,4)
r(6,701,0,4)
r(10,718,0,4)
r(2,703,0,4)
w(1,3,0,4)
w(17,4,0,4)
r(12,697,0,4)
r(15,715,0,4)
r(3,100,0,4)
r(14,1,0,4)
w(15,2,0,5)
r(9,590,0,5)
w(8,3,0,5)
w(16,2,0,5)
w(6,3,0,5)
r(11,711,0,5)
w(17,5,0,5)
w(13,4,0,5)
r(14,286,0,5)
r(5,300,0,5)
w(12,3,0,5)
r(18,702,0,5)
r(2,311,0,5)
w(1,4,0,5)
w(19,2,0,5)
r(10,718,0,5)
r(3,283,0,5)
w(4,2,0,5)
r(7,297,0,5)
